,zn,E_HFB,E_PNP,E_PNPAMP
252,"[58, 114]",1281.21179081,1282.96660552,1285.8303734
253,"[86, 132]",1667.96814879,1668.97048566,1671.88216022
254,"[60, 114]",1313.98689482,1315.59499807,1318.75851768
255,"[86, 168]",1780.4726372,1781.66802816,1783.94711193
256,"[36, 56]",776.58530285,778.2364132,780.79627827
257,"[48, 82]",1068.63532689,1069.24678358,1071.17221086
258,"[28, 54]",644.89090006,645.22477697,647.75462846
259,"[82, 142]",1672.70402358,1673.29753303,1676.12316886
260,"[102, 168]",1934.17762716,1935.81501651,1938.74057976
261,"[56, 118]",1248.23552543,1249.6847775,1252.21510618
262,"[70, 172]",1495.43928761,1496.91609227,1499.54852772
263,"[76, 96]",1356.6007881,1357.91694185,1360.31007674
264,"[92, 188]",1888.25429478,1890.03259264,1891.79015796
265,"[76, 132]",1578.26783002,1580.12448547,1582.27813626
266,"[94, 142]",1762.32972617,1762.91881627,1765.42084565
267,"[72, 98]",1361.96447267,1363.02412795,1365.84410431
268,"[98, 196]",1967.18468714,1968.85031648,1973.34922797
269,"[102, 138]",1749.97254456,1751.12397997,1754.19234642
270,"[86, 112]",1518.2156633,1519.25119982,1521.80410128
271,"[50, 104]",1126.21135157,1126.99271258,1129.58610258
272,"[48, 96]",1081.97232183,1083.14925455,1085.67299759
273,"[48, 64]",952.85770229,953.54273572,956.08445863
274,"[84, 106]",1460.8141808,1462.19177553,1464.95294167
275,"[80, 116]",1536.62939802,1537.25626887,1540.2273092
276,"[92, 156]",1813.53651506,1815.0293253,1817.6173316
277,"[94, 122]",1613.95451498,1615.79752614,1618.56475414
278,"[84, 136]",1671.49661286,1672.11164525,1674.2900535
279,"[84, 148]",1710.50225562,1712.18949681,1714.62190417
280,"[88, 196]",1824.14133677,1825.38763076,1827.32217094
281,"[84, 168]",1753.26955989,1754.20771444,1756.67895579
282,"[46, 96]",1042.14639964,1043.00463061,1045.78828809
283,"[64, 136]",1400.27759879,1402.21672841,1404.52918118
284,"[90, 114]",1538.45257788,1540.00475228,1542.53946274
285,"[56, 72]",1069.7127562,1070.57717126,1073.36929496
286,"[64, 96]",1297.36798393,1298.82297677,1301.81470412
287,"[78, 178]",1660.52581856,1662.11838749,1664.37226373
288,"[50, 116]",1124.45225077,1124.89306945,1127.90455898
289,"[68, 124]",1456.78383398,1458.46274141,1460.5495415
290,"[74, 146]",1577.64448022,1579.39455051,1581.79952967
291,"[104, 190]",2021.95082525,2023.82956376,2029.95394256
292,"[100, 154]",1858.64731157,1859.81227483,1862.41110699
293,"[96, 176]",1913.92099455,1915.65023339,1918.04500937
294,"[92, 122]",1614.25813117,1616.04193017,1618.8353825
295,"[74, 150]",1582.31703589,1583.95192747,1586.42562464
296,"[90, 182]",1860.15210333,1861.53757832,1863.26667256
